,YEAR,TRANSIT DATE,WAITING TIME,DIRECTION (N/S),BEAM (pies),DRAF (Pies),transit_booking_days,transit_eta_days
986,2022,2022-01-29 00:00:00,3.0,Northbound,105.9,28.0,0,3.0
987,2022,2022-01-29 00:00:00,2.0,Northbound,105.9,26.833,0,2.0
991,2022,2022-01-29 00:00:00,2.0,Northbound,96.6,23.583,0,2.0
995,2022,2022-01-29 00:00:00,2.0,Northbound,97.9,34.667,0,2.0
996,2022,2022-01-29 00:00:00,0.0,Northbound,92.7,33.333,0,0.0
999,2022,2022-01-29 00:00:00,11.0,Southbound,106.0,39.333,0,11.0
1004,2022,2022-01-29 00:00:00,11.0,Southbound,94.6,33.666,0,11.0
1013,2022,2022-01-29 00:00:00,2.0,Southbound,98.6,33.0,0,2.0
1018,2022,2022-01-30 00:00:00,8.0,Northbound,106.0,27.917,0,8.0
1021,2022,2022-01-30 00:00:00,2.0,Northbound,106.0,26.917,0,2.0
1027,2022,2022-01-30 00:00:00,1.0,Northbound,106.0,29.5,0,1.0
1030,2022,2022-01-30 00:00:00,0.0,Northbound,106.0,25.5,0,0.0
1031,2022,2022-01-30 00:00:00,1.0,Northbound,106.0,35.0,0,1.0
1036,2022,2022-01-30 00:00:00,11.0,Southbound,106.0,39.5,0,11.0
1037,2022,2022-01-30 00:00:00,11.0,Southbound,93.3,29.167,0,11.0
1039,2022,2022-01-30 00:00:00,11.0,Southbound,98.7,33.5,0,11.0
1050,2022,2022-01-31 00:00:00,8.0,Northbound,106.0,30.083,0,8.0
1051,2022,2022-01-31 00:00:00,8.0,Northbound,106.0,37.667,0,8.0
1054,2022,2022-01-31 00:00:00,3.0,Northbound,105.9,28.083,0,3.0
1057,2022,2022-01-31 00:00:00,1.0,Northbound,106.0,38.417,0,1.0
1066,2022,2022-01-31 00:00:00,14.0,Southbound,106.0,46.5,0,14.0
1079,2022,2022-01-31 00:00:00,1.0,Southbound,106.0,39.417,0,1.0
1085,2022,2022-02-01 00:00:00,8.0,Northbound,106.0,39.417,0,8.0
1092,2022,2022-02-01 00:00:00,1.0,Northbound,106.0,38.75,0,1.0
1101,2022,2022-02-01 00:00:00,9.0,Southbound,98.6,32.583,4,9.0
1105,2022,2022-02-01 00:00:00,2.0,Southbound,106.0,41.333,0,2.0
1106,2022,2022-02-01 00:00:00,1.0,Southbound,106.0,38.25,0,1.0
1110,2022,2022-02-01 00:00:00,11.0,Southbound,98.6,28.25,0,11.0
1121,2022,2022-02-02 00:00:00,8.0,Northbound,106.0,39.5,0,8.0
1122,2022,2022-02-02 00:00:00,8.0,Northbound,101.9,28.167,0,8.0
1127,2022,2022-02-02 00:00:00,2.0,Northbound,97.0,27.583,0,2.0
1128,2022,2022-02-02 00:00:00,1.0,Northbound,106.0,27.333,0,1.0
1135,2022,2022-02-02 00:00:00,1.0,Northbound,94.6,30.333,0,1.0
1141,2022,2022-02-02 00:00:00,15.0,Southbound,106.0,44.917,0,15.0
1142,2022,2022-02-02 00:00:00,12.0,Southbound,97.9,34.167,0,12.0
1159,2022,2022-02-03 00:00:00,8.0,Northbound,106.0,26.833,0,8.0
1160,2022,2022-02-03 00:00:00,2.0,Northbound,106.0,27.583,0,2.0
1175,2022,2022-02-03 00:00:00,8.0,Southbound,106.0,39.5,0,8.0
1177,2022,2022-02-03 00:00:00,6.0,Southbound,106.0,39.5,0,6.0
1179,2022,2022-02-03 00:00:00,10.0,Southbound,106.0,26.75,0,10.0
1183,2022,2022-02-03 00:00:00,1.0,Southbound,106.0,44.75,0,1.0
1195,2022,2022-02-04 00:00:00,8.0,Northbound,106.0,38.0,0,8.0
1198,2022,2022-02-04 00:00:00,4.0,Northbound,106.0,39.083,0,4.0
1200,2022,2022-02-04 00:00:00,2.0,Northbound,105.9,38.333,0,2.0
1207,2022,2022-02-04 00:00:00,2.0,Northbound,94.7,21.167,0,2.0
1209,2022,2022-02-04 00:00:00,2.0,Northbound,98.6,30.583,0,2.0
1214,2022,2022-02-04 00:00:00,8.0,Southbound,106.0,39.25,0,8.0
1215,2022,2022-02-04 00:00:00,7.0,Southbound,106.0,39.167,0,7.0
1219,2022,2022-02-04 00:00:00,1.0,Southbound,106.0,39.25,0,1.0
1222,2022,2022-02-04 00:00:00,1.0,Southbound,98.7,33.667,0,1.0
1225,2022,2022-02-04 00:00:00,4.0,Southbound,106.0,38.167,0,4.0
1233,2022,2022-02-05 00:00:00,8.0,Northbound,97.0,23.667,0,8.0
1234,2022,2022-02-05 00:00:00,8.0,Northbound,105.9,39.333,0,8.0
1239,2022,2022-02-05 00:00:00,3.0,Northbound,106.0,27.75,0,3.0
1244,2022,2022-02-05 00:00:00,3.0,Northbound,106.0,29.917,0,3.0
1245,2022,2022-02-05 00:00:00,1.0,Northbound,93.3,29.833,0,1.0
1250,2022,2022-02-05 00:00:00,1.0,Northbound,106.0,39.083,0,1.0
1252,2022,2022-02-05 00:00:00,7.0,Southbound,106.0,39.5,0,7.0
1255,2022,2022-02-05 00:00:00,6.0,Southbound,97.9,33.667,-1,6.0
1256,2022,2022-02-05 00:00:00,4.0,Southbound,106.0,39.417,0,4.0
1263,2022,2022-02-05 00:00:00,1.0,Southbound,106.0,45.417,0,1.0
1265,2022,2022-02-05 00:00:00,3.0,Southbound,106.0,39.5,0,3.0
1272,2022,2022-02-06 00:00:00,6.0,Northbound,106.0,39.417,0,6.0
1281,2022,2022-02-06 00:00:00,1.0,Northbound,105.9,21.0,0,1.0
1287,2022,2022-02-06 00:00:00,0.0,Northbound,106.0,39.167,0,0.0
1293,2022,2022-02-06 00:00:00,7.0,Southbound,101.9,25.583,0,7.0
1296,2022,2022-02-06 00:00:00,2.0,Southbound,106.0,45.667,0,2.0
1304,2022,2022-02-06 00:00:00,1.0,Southbound,106.0,38.917,0,1.0
1310,2022,2022-02-07 00:00:00,12.0,Northbound,106.0,26.833,0,12.0
1315,2022,2022-02-07 00:00:00,2.0,Northbound,106.0,31.083,0,2.0
1317,2022,2022-02-07 00:00:00,1.0,Northbound,106.0,29.333,0,1.0
1329,2022,2022-02-07 00:00:00,20.0,Southbound,105.9,45.917,0,20.0
1330,2022,2022-02-07 00:00:00,17.0,Southbound,106.0,42.0,0,17.0
1337,2022,2022-02-07 00:00:00,1.0,Southbound,105.9,39.5,-1,1.0
1339,2022,2022-02-07 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
1344,2022,2022-02-07 00:00:00,1.0,Southbound,98.6,39.5,0,1.0
1345,2022,2022-02-07 00:00:00,1.0,Southbound,106.0,39.333,0,1.0
1346,2022,2022-02-08 00:00:00,19.0,Northbound,105.9,41.667,0,19.0
1347,2022,2022-02-08 00:00:00,6.0,Northbound,106.0,35.917,0,6.0
1348,2022,2022-02-08 00:00:00,6.0,Northbound,106.0,39.5,0,6.0
1350,2022,2022-02-08 00:00:00,7.0,Northbound,105.9,39.5,0,7.0
1352,2022,2022-02-08 00:00:00,6.0,Northbound,106.0,39.167,0,6.0
1355,2022,2022-02-08 00:00:00,2.0,Northbound,106.0,39.417,0,2.0
1356,2022,2022-02-08 00:00:00,2.0,Northbound,106.0,33.917,0,2.0
1362,2022,2022-02-08 00:00:00,4.0,Northbound,98.6,33.25,0,4.0
1367,2022,2022-02-08 00:00:00,16.0,Southbound,106.0,45.75,0,16.0
1369,2022,2022-02-08 00:00:00,6.0,Southbound,106.0,39.5,0,6.0
1389,2022,2022-02-09 00:00:00,2.0,Northbound,106.0,35.167,0,2.0
1403,2022,2022-02-09 00:00:00,7.0,Southbound,106.0,39.5,11,7.0
1407,2022,2022-02-09 00:00:00,2.0,Southbound,105.9,44.0,0,2.0
1409,2022,2022-02-09 00:00:00,7.0,Southbound,98.6,33.75,0,7.0
1413,2022,2022-02-09 00:00:00,7.0,Southbound,106.0,26.667,0,7.0
1422,2022,2022-02-10 00:00:00,7.0,Northbound,98.6,33.917,0,7.0
1425,2022,2022-02-10 00:00:00,7.0,Northbound,106.0,27.083,0,7.0
1430,2022,2022-02-10 00:00:00,2.0,Northbound,98.6,25.5,0,2.0
1436,2022,2022-02-10 00:00:00,0.0,Northbound,106.0,27.583,0,0.0
1440,2022,2022-02-10 00:00:00,18.0,Southbound,106.0,45.75,0,18.0
1444,2022,2022-02-10 00:00:00,5.0,Southbound,105.9,38.167,0,5.0
1445,2022,2022-02-10 00:00:00,4.0,Southbound,106.0,39.5,0,4.0
1453,2022,2022-02-10 00:00:00,1.0,Southbound,106.0,47.5,0,1.0
1455,2022,2022-02-10 00:00:00,1.0,Southbound,106.0,37.0,0,1.0
1461,2022,2022-02-11 00:00:00,8.0,Northbound,98.6,35.083,0,8.0
1463,2022,2022-02-11 00:00:00,7.0,Northbound,105.9,39.5,0,7.0
1478,2022,2022-02-11 00:00:00,1.0,Northbound,99.9,31.083,0,1.0
1480,2022,2022-02-11 00:00:00,18.0,Southbound,106.0,47.417,0,18.0
1484,2022,2022-02-11 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
1500,2022,2022-02-12 00:00:00,7.0,Northbound,106.0,39.5,0,7.0
1518,2022,2022-02-12 00:00:00,10.0,Southbound,106.0,44.25,0,10.0
1524,2022,2022-02-12 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
1527,2022,2022-02-12 00:00:00,6.0,Southbound,98.6,32.417,0,6.0
1528,2022,2022-02-12 00:00:00,5.0,Southbound,94.6,34.25,0,5.0
1530,2022,2022-02-12 00:00:00,1.0,Southbound,97.9,34.75,0,1.0
1539,2022,2022-02-13 00:00:00,5.0,Northbound,106.0,39.083,0,5.0
1542,2022,2022-02-13 00:00:00,1.0,Northbound,106.0,28.667,0,1.0
1543,2022,2022-02-13 00:00:00,1.0,Northbound,106.0,28.25,0,1.0
1558,2022,2022-02-13 00:00:00,7.0,Southbound,105.8,39.5,0,7.0
1561,2022,2022-02-13 00:00:00,7.0,Southbound,98.6,33.25,0,7.0
1566,2022,2022-02-13 00:00:00,1.0,Southbound,106.0,39.333,0,1.0
1574,2022,2022-02-14 00:00:00,8.0,Northbound,93.3,24.833,0,8.0
1576,2022,2022-02-14 00:00:00,6.0,Northbound,106.0,38.083,0,6.0
1578,2022,2022-02-14 00:00:00,6.0,Northbound,98.6,33.0,0,6.0
1582,2022,2022-02-14 00:00:00,2.0,Northbound,106.0,23.75,0,2.0
1584,2022,2022-02-14 00:00:00,3.0,Northbound,106.0,27.167,0,3.0
1593,2022,2022-02-14 00:00:00,8.0,Southbound,98.6,31.75,0,8.0
1595,2022,2022-02-14 00:00:00,8.0,Southbound,93.3,36.167,0,8.0
1597,2022,2022-02-14 00:00:00,4.0,Southbound,106.0,39.5,-1,4.0
1598,2022,2022-02-14 00:00:00,8.0,Southbound,98.6,36.417,0,8.0
1612,2022,2022-02-15 00:00:00,6.0,Northbound,106.0,39.5,0,6.0
1615,2022,2022-02-15 00:00:00,3.0,Northbound,98.6,34.083,0,3.0
1617,2022,2022-02-15 00:00:00,2.0,Northbound,106.1,39.417,0,2.0
1625,2022,2022-02-15 00:00:00,1.0,Northbound,106.0,35.667,0,1.0
1628,2022,2022-02-15 00:00:00,9.0,Southbound,106.0,39.5,0,9.0
1629,2022,2022-02-15 00:00:00,9.0,Southbound,106.0,39.5,0,9.0
1630,2022,2022-02-15 00:00:00,8.0,Southbound,106.0,38.083,0,8.0
1632,2022,2022-02-15 00:00:00,8.0,Southbound,106.0,37.75,0,8.0
1637,2022,2022-02-15 00:00:00,1.0,Southbound,98.6,34.167,0,1.0
1651,2022,2022-02-16 00:00:00,2.0,Northbound,106.0,39.5,0,2.0
1655,2022,2022-02-16 00:00:00,1.0,Northbound,106.0,38.667,0,1.0
1656,2022,2022-02-16 00:00:00,1.0,Northbound,96.6,29.583,0,1.0
1662,2022,2022-02-16 00:00:00,11.0,Southbound,106.0,44.5,0,11.0
1664,2022,2022-02-16 00:00:00,9.0,Southbound,106.0,39.333,0,9.0
1671,2022,2022-02-16 00:00:00,9.0,Southbound,98.6,35.083,0,9.0
1672,2022,2022-02-16 00:00:00,1.0,Southbound,106.0,43.583,0,1.0
1684,2022,2022-02-17 00:00:00,3.0,Northbound,105.9,39.5,0,3.0
1686,2022,2022-02-17 00:00:00,2.0,Northbound,93.3,34.75,0,2.0
1701,2022,2022-02-17 00:00:00,9.0,Southbound,106.0,39.5,0,9.0
1702,2022,2022-02-17 00:00:00,8.0,Southbound,106.0,39.5,0,8.0
1703,2022,2022-02-17 00:00:00,8.0,Southbound,105.9,39.5,0,8.0
1705,2022,2022-02-17 00:00:00,3.0,Southbound,106.0,35.583,0,3.0
1707,2022,2022-02-17 00:00:00,3.0,Southbound,106.0,44.583,0,3.0
1715,2022,2022-02-17 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
1723,2022,2022-02-18 00:00:00,3.0,Northbound,106.0,35.417,0,3.0
1726,2022,2022-02-18 00:00:00,3.0,Northbound,106.0,39.417,0,3.0
1742,2022,2022-02-18 00:00:00,6.0,Southbound,106.0,39.25,0,6.0
1746,2022,2022-02-18 00:00:00,3.0,Southbound,106.0,39.0,0,3.0
1751,2022,2022-02-18 00:00:00,5.0,Southbound,106.0,38.083,0,5.0
1752,2022,2022-02-18 00:00:00,1.0,Southbound,97.9,33.917,0,1.0
1760,2022,2022-02-19 00:00:00,3.0,Northbound,106.0,39.417,0,3.0
1762,2022,2022-02-19 00:00:00,2.0,Northbound,106.0,27.0,1,2.0
1765,2022,2022-02-19 00:00:00,1.0,Northbound,98.7,28.0,0,1.0
1777,2022,2022-02-19 00:00:00,6.0,Southbound,106.0,39.5,0,6.0
1779,2022,2022-02-19 00:00:00,6.0,Southbound,98.6,31.833,0,6.0
1780,2022,2022-02-19 00:00:00,5.0,Southbound,106.0,44.583,0,5.0
1795,2022,2022-02-20 00:00:00,2.0,Northbound,106.0,38.083,0,2.0
1796,2022,2022-02-20 00:00:00,2.0,Northbound,105.9,39.5,0,2.0
1797,2022,2022-02-20 00:00:00,2.0,Northbound,106.0,28.417,0,2.0
1801,2022,2022-02-20 00:00:00,1.0,Northbound,98.6,31.75,0,1.0
1810,2022,2022-02-20 00:00:00,6.0,Southbound,106.0,39.417,0,6.0
1825,2022,2022-02-20 00:00:00,3.0,Southbound,98.6,32.833,0,3.0
1832,2022,2022-02-21 00:00:00,3.0,Northbound,106.0,34.583,0,3.0
1833,2022,2022-02-21 00:00:00,2.0,Northbound,106.0,38.25,0,2.0
1848,2022,2022-02-21 00:00:00,7.0,Southbound,106.0,39.5,0,7.0
1849,2022,2022-02-21 00:00:00,6.0,Southbound,105.2,24.583,-1,6.0
1851,2022,2022-02-21 00:00:00,6.0,Southbound,98.6,27.75,0,6.0
1856,2022,2022-02-21 00:00:00,1.0,Southbound,106.0,45.25,0,1.0
1866,2022,2022-02-22 00:00:00,4.0,Northbound,98.6,38.083,-1,4.0
1868,2022,2022-02-22 00:00:00,3.0,Northbound,106.0,24.75,0,3.0
1871,2022,2022-02-22 00:00:00,2.0,Northbound,106.0,38.75,0,2.0
1876,2022,2022-02-22 00:00:00,2.0,Northbound,105.2,27.25,0,2.0
1879,2022,2022-02-22 00:00:00,4.0,Northbound,106.0,35.75,0,4.0
1882,2022,2022-02-22 00:00:00,1.0,Northbound,105.2,22.417,0,1.0
1883,2022,2022-02-22 00:00:00,1.0,Northbound,92.0,31.0,0,1.0
1887,2022,2022-02-22 00:00:00,7.0,Southbound,106.0,39.0,0,7.0
1888,2022,2022-02-22 00:00:00,6.0,Southbound,106.0,39.417,0,6.0
1894,2022,2022-02-22 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
1895,2022,2022-02-22 00:00:00,2.0,Southbound,98.5,32.5,0,2.0
1899,2022,2022-02-22 00:00:00,1.0,Southbound,93.0,33.5,0,1.0
1900,2022,2022-02-22 00:00:00,7.0,Southbound,105.9,39.333,0,7.0
1903,2022,2022-02-23 00:00:00,5.0,Northbound,106.0,44.25,0,5.0
1904,2022,2022-02-23 00:00:00,4.0,Northbound,105.9,37.667,0,4.0
1908,2022,2022-02-23 00:00:00,1.0,Northbound,106.0,33.667,0,1.0
1913,2022,2022-02-23 00:00:00,2.0,Northbound,98.6,23.833,0,2.0
1914,2022,2022-02-23 00:00:00,1.0,Northbound,91.4,34.417,0,1.0
1920,2022,2022-02-23 00:00:00,4.0,Northbound,105.9,32.0,0,4.0
1923,2022,2022-02-23 00:00:00,6.0,Southbound,105.9,39.167,-3,6.0
1924,2022,2022-02-23 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
1926,2022,2022-02-23 00:00:00,4.0,Southbound,105.9,39.0,0,4.0
1930,2022,2022-02-23 00:00:00,6.0,Southbound,106.0,39.5,0,6.0
1947,2022,2022-02-24 00:00:00,2.0,Northbound,106.0,24.833,0,2.0
1951,2022,2022-02-24 00:00:00,2.0,Northbound,106.0,24.417,0,2.0
1957,2022,2022-02-24 00:00:00,6.0,Southbound,106.0,39.417,0,6.0
1958,2022,2022-02-24 00:00:00,6.0,Southbound,106.0,39.333,0,6.0
1962,2022,2022-02-24 00:00:00,3.0,Southbound,97.9,36.083,0,3.0
1964,2022,2022-02-24 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
1973,2022,2022-02-24 00:00:00,1.0,Southbound,97.9,34.917,0,1.0
1977,2022,2022-02-25 00:00:00,4.0,Northbound,106.0,26.667,0,4.0
1982,2022,2022-02-25 00:00:00,2.0,Northbound,106.0,39.333,0,2.0
1983,2022,2022-02-25 00:00:00,4.0,Northbound,106.0,26.917,0,4.0
1985,2022,2022-02-25 00:00:00,4.0,Northbound,106.0,46.75,0,4.0
1990,2022,2022-02-25 00:00:00,2.0,Northbound,97.0,24.167,0,2.0
1996,2022,2022-02-25 00:00:00,6.0,Southbound,106.0,39.5,0,6.0
1997,2022,2022-02-25 00:00:00,5.0,Southbound,98.6,32.75,0,5.0
1998,2022,2022-02-25 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
2002,2022,2022-02-25 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
2007,2022,2022-02-25 00:00:00,4.0,Southbound,106.0,38.0,0,4.0
2009,2022,2022-02-25 00:00:00,1.0,Southbound,98.7,38.167,0,1.0
2010,2022,2022-02-25 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
2015,2022,2022-02-26 00:00:00,4.0,Northbound,105.9,38.25,0,4.0
2016,2022,2022-02-26 00:00:00,3.0,Northbound,106.0,27.083,0,3.0
2021,2022,2022-02-26 00:00:00,3.0,Northbound,105.9,29.167,0,3.0
2022,2022,2022-02-26 00:00:00,2.0,Northbound,105.9,38.667,0,2.0
2024,2022,2022-02-26 00:00:00,5.0,Northbound,106.0,31.917,0,5.0
2026,2022,2022-02-26 00:00:00,2.0,Northbound,97.9,31.667,0,2.0
2033,2022,2022-02-26 00:00:00,3.0,Southbound,101.8,38.917,0,3.0
2039,2022,2022-02-26 00:00:00,1.0,Southbound,106.0,39.5,-1,1.0
2041,2022,2022-02-26 00:00:00,1.0,Southbound,106.0,39.417,0,1.0
2042,2022,2022-02-26 00:00:00,1.0,Southbound,105.9,39.5,0,1.0
2043,2022,2022-02-26 00:00:00,4.0,Southbound,98.7,33.917,0,4.0
2044,2022,2022-02-26 00:00:00,1.0,Southbound,106.0,44.667,0,1.0
2047,2022,2022-02-26 00:00:00,4.0,Southbound,93.2,37.5,0,4.0
2071,2022,2022-02-27 00:00:00,3.0,Southbound,106.0,39.417,0,3.0
2079,2022,2022-02-27 00:00:00,6.0,Southbound,98.7,33.417,0,6.0
2087,2022,2022-02-28 00:00:00,6.0,Northbound,106.0,39.0,0,6.0
2089,2022,2022-02-28 00:00:00,5.0,Northbound,106.0,39.5,0,5.0
2091,2022,2022-02-28 00:00:00,5.0,Northbound,105.9,39.5,0,5.0
2102,2022,2022-02-28 00:00:00,1.0,Northbound,97.9,21.583,0,1.0
2103,2022,2022-02-28 00:00:00,1.0,Northbound,103.8,29.75,0,1.0
2108,2022,2022-02-28 00:00:00,2.0,Southbound,93.3,32.25,0,2.0
2109,2022,2022-02-28 00:00:00,2.0,Southbound,106.0,39.333,0,2.0
2111,2022,2022-02-28 00:00:00,1.0,Southbound,106.0,44.917,0,1.0
2114,2022,2022-02-28 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
2121,2022,2022-02-28 00:00:00,0.0,Southbound,105.9,39.5,-1,0.0
2127,2022,2022-03-01 00:00:00,5.0,Northbound,94.0,34.083,0,5.0
2128,2022,2022-03-01 00:00:00,4.0,Northbound,98.6,35.417,0,4.0
2136,2022,2022-03-01 00:00:00,2.0,Northbound,106.0,35.917,0,2.0
2145,2022,2022-03-01 00:00:00,10.0,Southbound,105.9,48.333,0,10.0
2152,2022,2022-03-01 00:00:00,2.0,Southbound,106.0,43.917,0,2.0
2155,2022,2022-03-01 00:00:00,1.0,Southbound,105.2,35.667,0,1.0
2158,2022,2022-03-01 00:00:00,2.0,Southbound,106.0,39.5,0,2.0
2159,2022,2022-03-01 00:00:00,1.0,Southbound,106.0,39.083,0,1.0
2163,2022,2022-03-02 00:00:00,5.0,Northbound,106.0,38.917,0,5.0
2166,2022,2022-03-02 00:00:00,2.0,Northbound,106.0,26.25,0,2.0
2167,2022,2022-03-02 00:00:00,2.0,Northbound,98.5,27.833,0,2.0
2181,2022,2022-03-02 00:00:00,3.0,Southbound,98.5,34.083,0,3.0
2182,2022,2022-03-02 00:00:00,2.0,Southbound,105.9,39.417,0,2.0
2187,2022,2022-03-02 00:00:00,1.0,Southbound,105.9,39.5,0,1.0
2190,2022,2022-03-02 00:00:00,1.0,Southbound,106.0,39.417,0,1.0
2200,2022,2022-03-03 00:00:00,5.0,Northbound,92.1,32.583,0,5.0
2215,2022,2022-03-03 00:00:00,2.0,Southbound,105.2,34.417,0,2.0
2216,2022,2022-03-03 00:00:00,2.0,Southbound,105.9,39.5,0,2.0
2218,2022,2022-03-03 00:00:00,2.0,Southbound,106.0,39.5,0,2.0
2220,2022,2022-03-03 00:00:00,1.0,Southbound,106.0,37.25,0,1.0
2227,2022,2022-03-03 00:00:00,2.0,Southbound,106.0,37.833,0,2.0
2232,2022,2022-03-04 00:00:00,6.0,Northbound,106.0,39.5,0,6.0
2237,2022,2022-03-04 00:00:00,5.0,Northbound,103.8,29.75,4,5.0
2239,2022,2022-03-04 00:00:00,6.0,Northbound,106.0,34.917,0,6.0
2241,2022,2022-03-04 00:00:00,3.0,Northbound,106.0,25.25,0,3.0
2244,2022,2022-03-04 00:00:00,2.0,Northbound,106.0,32.25,0,2.0
2252,2022,2022-03-04 00:00:00,2.0,Southbound,105.9,39.167,0,2.0
2272,2022,2022-03-05 00:00:00,6.0,Northbound,106.0,24.25,0,6.0
2273,2022,2022-03-05 00:00:00,5.0,Northbound,98.6,32.833,0,5.0
2276,2022,2022-03-05 00:00:00,3.0,Northbound,105.9,31.333,0,3.0
2281,2022,2022-03-05 00:00:00,2.0,Northbound,105.9,39.333,0,2.0
2304,2022,2022-03-05 00:00:00,0.0,Southbound,106.0,39.5,0,0.0
2308,2022,2022-03-06 00:00:00,5.0,Northbound,98.6,32.583,0,5.0
2309,2022,2022-03-06 00:00:00,2.0,Northbound,106.0,39.417,0,2.0
2310,2022,2022-03-06 00:00:00,2.0,Northbound,106.0,33.917,0,2.0
2332,2022,2022-03-06 00:00:00,1.0,Southbound,106.0,39.333,0,1.0
2339,2022,2022-03-06 00:00:00,3.0,Southbound,93.4,34.917,0,3.0
2342,2022,2022-03-07 00:00:00,6.0,Northbound,106.0,39.5,0,6.0
2343,2022,2022-03-07 00:00:00,5.0,Northbound,106.0,39.417,0,5.0
2344,2022,2022-03-07 00:00:00,4.0,Northbound,106.0,39.5,0,4.0
2358,2022,2022-03-07 00:00:00,4.0,Southbound,106.0,39.5,8,4.0
2361,2022,2022-03-07 00:00:00,3.0,Southbound,98.6,34.083,0,3.0
2362,2022,2022-03-07 00:00:00,4.0,Southbound,98.6,26.917,-1,4.0
2364,2022,2022-03-07 00:00:00,1.0,Southbound,106.0,46.083,0,1.0
2379,2022,2022-03-08 00:00:00,6.0,Northbound,97.9,34.083,0,6.0
2380,2022,2022-03-08 00:00:00,6.0,Northbound,106.0,38.667,0,6.0
2390,2022,2022-03-08 00:00:00,2.0,Northbound,92.5,32.667,0,2.0
2398,2022,2022-03-08 00:00:00,3.0,Southbound,106.0,38.5,0,3.0
2409,2022,2022-03-08 00:00:00,0.0,Southbound,105.9,38.25,0,0.0
2415,2022,2022-03-09 00:00:00,5.0,Northbound,106.0,39.417,0,5.0
2418,2022,2022-03-09 00:00:00,5.0,Northbound,105.9,27.75,0,5.0
2419,2022,2022-03-09 00:00:00,5.0,Northbound,106.0,38.583,0,5.0
2427,2022,2022-03-09 00:00:00,7.0,Northbound,106.0,24.667,0,7.0
2431,2022,2022-03-09 00:00:00,7.0,Southbound,106.0,44.25,0,7.0
2433,2022,2022-03-09 00:00:00,3.0,Southbound,105.9,39.5,0,3.0
2439,2022,2022-03-09 00:00:00,1.0,Southbound,106.0,39.5,0,1.0
2447,2022,2022-03-10 00:00:00,15.0,Northbound,106.0,44.25,0,15.0
2448,2022,2022-03-10 00:00:00,5.0,Northbound,98.6,24.667,0,5.0
2451,2022,2022-03-10 00:00:00,5.0,Northbound,99.8,25.5,0,5.0
2452,2022,2022-03-10 00:00:00,4.0,Northbound,105.9,24.667,0,4.0
2454,2022,2022-03-10 00:00:00,4.0,Northbound,91.4,36.583,0,4.0
2455,2022,2022-03-10 00:00:00,3.0,Northbound,106.0,36.417,0,3.0
2459,2022,2022-03-10 00:00:00,1.0,Northbound,98.6,29.667,0,1.0
2467,2022,2022-03-10 00:00:00,1.0,Southbound,106.0,39.417,0,1.0
2469,2022,2022-03-10 00:00:00,1.0,Southbound,105.9,39.167,0,1.0
2481,2022,2022-03-10 00:00:00,3.0,Southbound,105.8,37.083,-1,3.0
2484,2022,2022-03-11 00:00:00,3.0,Northbound,105.9,39.5,0,3.0
2485,2022,2022-03-11 00:00:00,2.0,Northbound,106.0,31.5,0,2.0
2487,2022,2022-03-11 00:00:00,2.0,Northbound,105.9,31.917,0,2.0
2494,2022,2022-03-11 00:00:00,4.0,Northbound,98.9,25.417,0,4.0
2501,2022,2022-03-11 00:00:00,4.0,Southbound,106.0,39.083,0,4.0
2503,2022,2022-03-11 00:00:00,3.0,Southbound,93.3,34.083,0,3.0
2510,2022,2022-03-11 00:00:00,5.0,Southbound,98.6,33.75,0,5.0
2522,2022,2022-03-12 00:00:00,2.0,Northbound,106.0,31.167,0,2.0
2525,2022,2022-03-12 00:00:00,2.0,Northbound,106.0,35.25,0,2.0
2536,2022,2022-03-12 00:00:00,7.0,Southbound,106.0,46.583,0,7.0
2537,2022,2022-03-12 00:00:00,6.0,Southbound,106.0,44.25,0,6.0
2539,2022,2022-03-12 00:00:00,4.0,Southbound,105.9,39.5,0,4.0
2547,2022,2022-03-12 00:00:00,0.0,Southbound,106.0,37.25,0,0.0
2552,2022,2022-03-13 00:00:00,3.0,Northbound,93.4,32.083,0,3.0
2553,2022,2022-03-13 00:00:00,3.0,Northbound,93.3,22.0,0,3.0
2554,2022,2022-03-13 00:00:00,3.0,Northbound,98.6,33.167,-1,3.0
2558,2022,2022-03-13 00:00:00,3.0,Northbound,99.9,23.833,0,3.0
2561,2022,2022-03-13 00:00:00,3.0,Northbound,105.9,31.167,0,3.0
2572,2022,2022-03-13 00:00:00,3.0,Southbound,98.6,36.25,0,3.0
2577,2022,2022-03-13 00:00:00,2.0,Southbound,98.6,32.417,0,2.0
2588,2022,2022-03-14 00:00:00,3.0,Northbound,92.7,31.25,0,3.0
2604,2022,2022-03-14 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
2606,2022,2022-03-14 00:00:00,5.0,Southbound,106.0,39.5,0,5.0
